,High Date,High Price,Min Price,Min Date,Drawdown %
264,2199,51.06999969482422,51.06999969482422,2199,0.0
265,2200,51.06999969482422,51.04999923706055,2202,0.03916283117914108
266,2203,51.38999938964844,51.38999938964844,2203,0.0
267,2204,51.619998931884766,50.41999816894531,2214,2.324681882545011
268,2220,52.029998779296875,52.029998779296875,2220,0.0
269,2221,52.45000076293945,52.2599983215332,2222,0.3622544111391195
270,2223,52.56999969482422,52.56999969482422,2223,0.0
271,2224,52.97999954223633,52.97999954223633,2224,0.0
272,2225,53.04999923706055,52.83000183105469,2226,0.41469822652168853
273,2227,53.09000015258789,53.09000015258789,2227,0.0
274,2228,53.2400016784668,51.02000045776367,2234,4.16979930637571
275,2244,53.459999084472656,53.220001220703125,2246,0.4489297940134797
276,2248,53.56999969482422,53.56999969482422,2248,0.0
277,2249,53.91999816894531,53.91999816894531,2249,0.0
278,2250,54.150001525878906,53.41999816894531,2253,1.3481132712151758
279,2255,54.7400016784668,54.7400016784668,2255,0.0
280,2256,54.93000030517578,54.93000030517578,2256,0.0
281,2257,55.209999084472656,55.209999084472656,2257,0.0
282,2258,55.439998626708984,55.439998626708984,2258,0.0
283,2259,55.65999984741211,54.88999938964844,2261,1.3834000357071017
284,2263,55.77000045776367,55.77000045776367,2263,0.0
285,2264,55.779998779296875,55.470001220703125,2265,0.5557503861201368
286,2267,55.83000183105469,55.68000030517578,2269,0.2686754808513546
287,2271,56.040000915527344,53.58000183105469,2284,4.389719921990667
288,2299,56.25,56.25,2299,0.0
289,2300,56.349998474121094,56.349998474121094,2300,0.0
290,2301,56.43000030517578,56.150001525878906,2303,0.4961878039741804
291,2306,56.599998474121094,56.599998474121094,2306,0.0
292,2307,56.66999816894531,55.439998626708984,2318,2.17045982350209
293,2328,56.709999084472656,56.709999084472656,2328,0.0
294,2329,56.959999084472656,56.959999084472656,2329,0.0
295,2330,57.43000030517578,57.43000030517578,2330,0.0
296,2331,57.91999816894531,57.91999816894531,2331,0.0
297,2332,58.16999816894531,56.880001068115234,2345,2.217633043555358
298,2350,58.369998931884766,58.09000015258789,2354,0.479696392702733
299,2360,58.38999938964844,58.38999938964844,2360,0.0
300,2361,58.68000030517578,56.36000061035156,2368,3.95364635780274
